text,label
"hello",Greeting
"hi",Greeting
"hey there",Greeting
"good morning",Greeting
"good afternoon",Greeting
"howdy",Greeting
"greetings",Greeting
"start our conversation",Greeting
"can you help me",Greeting
"yo",Greeting
"what's up",Greeting
"hey assistant",Greeting
"hi there",Greeting
"start",Greeting
"hey kushi",Greeting
"a little help please",Greeting
"good day",Greeting
"how are you",Greeting
"is anyone there",Greeting
"hello bot",Greeting
"are you there",Greeting
"hi kushi",Greeting
"hey bot",Greeting
"start the conversation",Greeting
"can we start",Greeting
"what's happening",Greeting
"nice to meet you",Greeting
"hello hello",Greeting
"a pleasant day to you",Greeting
"how may I help you",Greeting
"thanks",Thanks
"thank you",Thanks
"appreciate it",Thanks
"thanks a lot",Thanks
"that was helpful thank you",Thanks
"many thanks",Thanks
"cheers",Thanks
"much appreciated",Thanks
"okay thank you",Thanks
"thank you for your help",Thanks
"great thanks",Thanks
"perfect thank you",Thanks
"thanks that's all",Thanks
"I appreciate your assistance",Thanks
"you've been a great help",Thanks
"thanks so much",Thanks
"cool thanks",Thanks
"thank you very much",Thanks
"thanks a bunch",Thanks
"I am grateful",Thanks
"that's very helpful",Thanks
"thanks for the information",Thanks
"you're the best",Thanks
"thanks for that",Thanks
"ok thanks",Thanks
"that's all I needed thanks",Thanks
"thank you for everything",Thanks
"I'm good now thanks",Thanks
"you've been wonderful thanks",Thanks
"thanks for your time",Thanks
"I want to order food",IncompleteAdd
"I'd like to get something",IncompleteAdd
"let me add an item",IncompleteAdd
"I want to add to my cart",IncompleteAdd
"can I order",IncompleteAdd
"I want to add",IncompleteAdd
"I would like to place an order",IncompleteAdd
"time to order",IncompleteAdd
"let's add something",IncompleteAdd
"I need to add",IncompleteAdd
"I want to order now",IncompleteAdd
"get me something",IncompleteAdd
"I want something to eat",IncompleteAdd
"I'm hungry",IncompleteAdd
"let's order",IncompleteAdd
"I'm ready to add something",IncompleteAdd
"I want to place an order for some food",IncompleteAdd
"I need to order an item",IncompleteAdd
"I want to add a dish",IncompleteAdd
"I'm looking to order",IncompleteAdd
"I want to buy",IncompleteAdd
"add to my order",IncompleteAdd
"I need to buy some food",IncompleteAdd
"I'm ready to choose my food",IncompleteAdd
"can I make an order",IncompleteAdd
"I'd like to make a purchase",IncompleteAdd
"I want to order some items",IncompleteAdd
"I'm ready to select my dishes",IncompleteAdd
"let's get some food",IncompleteAdd
"I want to buy something to eat",IncompleteAdd
"I want to remove something",IncompleteRemove
"let's take something off",IncompleteRemove
"I need to delete an item",IncompleteRemove
"I want to remove",IncompleteRemove
"can I remove an item",IncompleteRemove
"remove please",IncompleteRemove
"delete from cart",IncompleteRemove
"I need to remove something",IncompleteRemove
"I want to delete",IncompleteRemove
"take something off my order",IncompleteRemove
"let's remove an item",IncompleteRemove
"I want to take something out",IncompleteRemove
"remove something from my basket",IncompleteRemove
"delete an item please",IncompleteRemove
"I'd like to remove something",IncompleteRemove
"I need to remove a dish",IncompleteRemove
"I want to delete an item from my cart",IncompleteRemove
"can you remove something for me",IncompleteRemove
"I want to take an item off",IncompleteRemove
"let's delete something",IncompleteRemove
"I need to remove a food item",IncompleteRemove
"delete something from the order",IncompleteRemove
"I want to take off an item",IncompleteRemove
"can you remove a dish",IncompleteRemove
"I'd like to delete something",IncompleteRemove
"I want to take something out of my cart",IncompleteRemove
"remove an item from my purchase",IncompleteRemove
"I need to delete something",IncompleteRemove
"can you take something off my order",IncompleteRemove
"I've changed my mind I want to remove",IncompleteRemove
"show restaurants",GetRestaurantList
"what restaurants are available",GetRestaurantList
"list of restaurants please",GetRestaurantList
"what are my options for places to eat",GetRestaurantList
"who delivers here",GetRestaurantList
"what places can I order from",GetRestaurantList
"show me the list of restaurants",GetRestaurantList
"see all restaurants",GetRestaurantList
"which restaurants can I order from",GetRestaurantList
"list restaurants",GetRestaurantList
"view restaurants",GetRestaurantList
"what's available",GetRestaurantList
"show me food places",GetRestaurantList
"available restaurants",GetRestaurantList
"what are the restaurants",GetRestaurantList
"restaurants please",GetRestaurantList
"give me the restaurants",GetRestaurantList
"which places are nearby",GetRestaurantList
